sentiment,country,question,count
positive,,,1
positive,,How much fun it will be,2
positive,,How it will make us all smarter and better educated,12
positive,,How easy it will make life,26
positive,,How it will bring the world together,10
positive,,Other (please specify),5
positive,,None of the above,14
negative,,,2
negative,,WeÛªll lose touch with one another,0
negative,,The loss of privacy,41
negative,,I have no fears about a more connected future,2
negative,,Other (please specify),6
negative,,WeÛªll be less safe,0
positive,Yemen,,2
positive,Yemen,How much fun it will be,0
positive,Yemen,How it will make us all smarter and better educated,1
positive,Yemen,How easy it will make life,0
positive,Yemen,How it will bring the world together,0
positive,Yemen,Other (please specify),0
positive,Yemen,None of the above,1
negative,Yemen,,2
negative,Yemen,WeÛªll lose touch with one another,0
negative,Yemen,The loss of privacy,1
negative,Yemen,I have no fears about a more connected future,0
negative,Yemen,Other (please specify),0
negative,Yemen,WeÛªll be less safe,0
positive,Philippines,,64
positive,Philippines,How much fun it will be,35
positive,Philippines,How it will make us all smarter and better educated,119
positive,Philippines,How easy it will make life,110
positive,Philippines,How it will bring the world together,86
positive,Philippines,Other (please specify),23
positive,Philippines,None of the above,43
negative,Philippines,,65
negative,Philippines,WeÛªll lose touch with one another,0
negative,Philippines,The loss of privacy,229
negative,Philippines,I have no fears about a more connected future,23
negative,Philippines,Other (please specify),30
negative,Philippines,WeÛªll be less safe,0
positive,Suriname,,1
positive,Suriname,How much fun it will be,0
positive,Suriname,How it will make us all smarter and better educated,2
positive,Suriname,How easy it will make life,0
positive,Suriname,How it will bring the world together,1
positive,Suriname,Other (please specify),0
positive,Suriname,None of the above,0
negative,Suriname,,1
negative,Suriname,WeÛªll lose touch with one another,0
negative,Suriname,The loss of privacy,2
negative,Suriname,I have no fears about a more connected future,0
negative,Suriname,Other (please specify),0
negative,Suriname,WeÛªll be less safe,0
positive,Guyana,,2
positive,Guyana,How much fun it will be,0
positive,Guyana,How it will make us all smarter and better educated,3
positive,Guyana,How easy it will make life,3
positive,Guyana,How it will bring the world together,4
positive,Guyana,Other (please specify),0
positive,Guyana,None of the above,3
negative,Guyana,,2
negative,Guyana,WeÛªll lose touch with one another,0
negative,Guyana,The loss of privacy,6
negative,Guyana,I have no fears about a more connected future,3
negative,Guyana,Other (please specify),0
negative,Guyana,WeÛªll be less safe,0
positive,Belarus,,0
positive,Belarus,How much fun it will be,3
positive,Belarus,How it will make us all smarter and better educated,7
positive,Belarus,How easy it will make life,8
positive,Belarus,How it will bring the world together,3
positive,Belarus,Other (please specify),1
positive,Belarus,None of the above,4
negative,Belarus,,0
negative,Belarus,WeÛªll lose touch with one another,0
negative,Belarus,The loss of privacy,12
negative,Belarus,I have no fears about a more connected future,3
negative,Belarus,Other (please specify),1
negative,Belarus,WeÛªll be less safe,0
positive,New Caledonia,,9
positive,New Caledonia,How much fun it will be,14
positive,New Caledonia,How it will make us all smarter and better educated,20
positive,New Caledonia,How easy it will make life,36
positive,New Caledonia,How it will bring the world together,17
positive,New Caledonia,Other (please specify),12
positive,New Caledonia,None of the above,33
negative,New Caledonia,,8
negative,New Caledonia,WeÛªll lose touch with one another,0
negative,New Caledonia,The loss of privacy,72
negative,New Caledonia,I have no fears about a more connected future,5
negative,New Caledonia,Other (please specify),9
negative,New Caledonia,WeÛªll be less safe,0
positive,Belize,,0
positive,Belize,How much fun it will be,1
positive,Belize,How it will make us all smarter and better educated,1
positive,Belize,How easy it will make life,2
positive,Belize,How it will bring the world together,1
positive,Belize,Other (please specify),1
positive,Belize,None of the above,3
negative,Belize,,0
negative,Belize,WeÛªll lose touch with one another,0
negative,Belize,The loss of privacy,5
negative,Belize,I have no fears about a more connected future,0
negative,Belize,Other (please specify),1
negative,Belize,WeÛªll be less safe,0
positive,Germany,,1095
positive,Germany,How much fun it will be,2016
positive,Germany,How it will make us all smarter and better educated,2898
positive,Germany,How easy it will make life,6091
positive,Germany,How it will bring the world together,4836
positive,Germany,Other (please specify),1195
positive,Germany,None of the above,6848
negative,Germany,,1130
negative,Germany,WeÛªll lose touch with one another,0
negative,Germany,The loss of privacy,11748
negative,Germany,I have no fears about a more connected future,1869
negative,Germany,Other (please specify),2030
negative,Germany,WeÛªll be less safe,0
positive,Oman,,3
positive,Oman,How much fun it will be,0
positive,Oman,How it will make us all smarter and better educated,5
positive,Oman,How easy it will make life,6
positive,Oman,How it will bring the world together,3
positive,Oman,Other (please specify),0
positive,Oman,None of the above,2
negative,Oman,,4
negative,Oman,WeÛªll lose touch with one another,0
negative,Oman,The loss of privacy,7
negative,Oman,I have no fears about a more connected future,1
negative,Oman,Other (please specify),1
negative,Oman,WeÛªll be less safe,0
positive,Solomon Islands,,0
positive,Solomon Islands,How much fun it will be,1
positive,Solomon Islands,How it will make us all smarter and better educated,0
positive,Solomon Islands,How easy it will make life,0
positive,Solomon Islands,How it will bring the world together,0
positive,Solomon Islands,Other (please specify),0
positive,Solomon Islands,None of the above,1
negative,Solomon Islands,,0
negative,Solomon Islands,WeÛªll lose touch with one another,0
negative,Solomon Islands,The loss of privacy,1
negative,Solomon Islands,I have no fears about a more connected future,0
negative,Solomon Islands,Other (please specify),0
negative,Solomon Islands,WeÛªll be less safe,0
positive,Saint Pierre and Miquelon,,0
positive,Saint Pierre and Miquelon,How much fun it will be,1
positive,Saint Pierre and Miquelon,How it will make us all smarter and better educated,0
positive,Saint Pierre and Miquelon,How easy it will make life,1
positive,Saint Pierre and Miquelon,How it will bring the world together,0
positive,Saint Pierre and Miquelon,Other (please specify),1
positive,Saint Pierre and Miquelon,None of the above,3
negative,Saint Pierre and Miquelon,,0
negative,Saint Pierre and Miquelon,WeÛªll lose touch with one another,0
negative,Saint Pierre and Miquelon,The loss of privacy,3
negative,Saint Pierre and Miquelon,I have no fears about a more connected future,0
negative,Saint Pierre and Miquelon,Other (please specify),3
negative,Saint Pierre and Miquelon,WeÛªll be less safe,0
positive,Afghanistan,,6
positive,Afghanistan,How much fun it will be,0
positive,Afghanistan,How it will make us all smarter and better educated,3
positive,Afghanistan,How easy it will make life,4
positive,Afghanistan,How it will bring the world together,1
positive,Afghanistan,Other (please specify),1
positive,Afghanistan,None of the above,0
negative,Afghanistan,,7
negative,Afghanistan,WeÛªll lose touch with one another,0
negative,Afghanistan,The loss of privacy,1
negative,Afghanistan,I have no fears about a more connected future,3
negative,Afghanistan,Other (please specify),1
negative,Afghanistan,WeÛªll be less safe,0
positive,Iran, Islamic Republic of,,391
positive,Iran, Islamic Republic of,How much fun it will be,27
positive,Iran, Islamic Republic of,How it will make us all smarter and better educated,53
positive,Iran, Islamic Republic of,How easy it will make life,102
positive,Iran, Islamic Republic of,How it will bring the world together,40
positive,Iran, Islamic Republic of,Other (please specify),23
positive,Iran, Islamic Republic of,None of the above,17
negative,Iran, Islamic Republic of,,404
negative,Iran, Islamic Republic of,WeÛªll lose touch with one another,0
negative,Iran, Islamic Republic of,The loss of privacy,96
negative,Iran, Islamic Republic of,I have no fears about a more connected future,39
negative,Iran, Islamic Republic of,Other (please specify),15
negative,Iran, Islamic Republic of,WeÛªll be less safe,0
positive,Switzerland,,131
positive,Switzerland,How much fun it will be,276
positive,Switzerland,How it will make us all smarter and better educated,424
positive,Switzerland,How easy it will make life,902
positive,Switzerland,How it will bring the world together,491
positive,Switzerland,Other (please specify),333
positive,Switzerland,None of the above,1140
negative,Switzerland,,126
negative,Switzerland,WeÛªll lose touch with one another,0
negative,Switzerland,The loss of privacy,1615
negative,Switzerland,I have no fears about a more connected future,254
negative,Switzerland,Other (please specify),353
negative,Switzerland,WeÛªll be less safe,0
positive,Asia/Pacific Region,,0
positive,Asia/Pacific Region,How much fun it will be,0
positive,Asia/Pacific Region,How it will make us all smarter and better educated,1
positive,Asia/Pacific Region,How easy it will make life,2
positive,Asia/Pacific Region,How it will bring the world together,4
positive,Asia/Pacific Region,Other (please specify),3
positive,Asia/Pacific Region,None of the above,1
negative,Asia/Pacific Region,,0
negative,Asia/Pacific Region,WeÛªll lose touch with one another,0
negative,Asia/Pacific Region,The loss of privacy,5
negative,Asia/Pacific Region,I have no fears about a more connected future,0
negative,Asia/Pacific Region,Other (please specify),1
negative,Asia/Pacific Region,WeÛªll be less safe,0
positive,Italy,,1397
positive,Italy,How much fun it will be,1506
positive,Italy,How it will make us all smarter and better educated,3028
positive,Italy,How easy it will make life,8789
positive,Italy,How it will bring the world together,4672
positive,Italy,Other (please specify),2521
positive,Italy,None of the above,7093
negative,Italy,,1444
negative,Italy,WeÛªll lose touch with one another,0
negative,Italy,The loss of privacy,7755
negative,Italy,I have no fears about a more connected future,1497
negative,Italy,Other (please specify),1479
negative,Italy,WeÛªll be less safe,0
positive,Cape Verde,,0
positive,Cape Verde,How much fun it will be,0
positive,Cape Verde,How it will make us all smarter and better educated,1
positive,Cape Verde,How easy it will make life,1
positive,Cape Verde,How it will bring the world together,4
positive,Cape Verde,Other (please specify),0
positive,Cape Verde,None of the above,0
negative,Cape Verde,,0
negative,Cape Verde,WeÛªll lose touch with one another,0
negative,Cape Verde,The loss of privacy,2
negative,Cape Verde,I have no fears about a more connected future,3
negative,Cape Verde,Other (please specify),0
negative,Cape Verde,WeÛªll be less safe,0
positive,Hong Kong,,3
positive,Hong Kong,How much fun it will be,10
positive,Hong Kong,How it will make us all smarter and better educated,15
positive,Hong Kong,How easy it will make life,26
positive,Hong Kong,How it will bring the world together,9
positive,Hong Kong,Other (please specify),5
positive,Hong Kong,None of the above,8
negative,Hong Kong,,4
negative,Hong Kong,WeÛªll lose touch with one another,0
negative,Hong Kong,The loss of privacy,41
negative,Hong Kong,I have no fears about a more connected future,2
negative,Hong Kong,Other (please specify),8
negative,Hong Kong,WeÛªll be less safe,0
positive,Estonia,,1
positive,Estonia,How much fun it will be,5
positive,Estonia,How it will make us all smarter and better educated,12
positive,Estonia,How easy it will make life,17
positive,Estonia,How it will bring the world together,6
positive,Estonia,Other (please specify),1
positive,Estonia,None of the above,10
negative,Estonia,,1
negative,Estonia,WeÛªll lose touch with one another,0
negative,Estonia,The loss of privacy,20
negative,Estonia,I have no fears about a more connected future,3
negative,Estonia,Other (please specify),4
negative,Estonia,WeÛªll be less safe,0
positive,New Zealand,,11
positive,New Zealand,How much fun it will be,41
positive,New Zealand,How it will make us all smarter and better educated,112
positive,New Zealand,How easy it will make life,77
positive,New Zealand,How it will bring the world together,108
positive,New Zealand,Other (please specify),55
positive,New Zealand,None of the above,183
negative,New Zealand,,12
negative,New Zealand,WeÛªll lose touch with one another,0
negative,New Zealand,The loss of privacy,267
negative,New Zealand,I have no fears about a more connected future,25
negative,New Zealand,Other (please specify),64
negative,New Zealand,WeÛªll be less safe,0
positive,American Samoa,,0
positive,American Samoa,How much fun it will be,0
positive,American Samoa,How it will make us all smarter and better educated,0
positive,American Samoa,How easy it will make life,0
positive,American Samoa,How it will bring the world together,0
positive,American Samoa,Other (please specify),0
positive,American Samoa,None of the above,1
negative,American Samoa,,0
negative,American Samoa,WeÛªll lose touch with one another,0
negative,American Samoa,The loss of privacy,0
negative,American Samoa,I have no fears about a more connected future,0
negative,American Samoa,Other (please specify),1
negative,American Samoa,WeÛªll be less safe,0
positive,Micronesia, Federated States of,,0
positive,Micronesia, Federated States of,How much fun it will be,0
positive,Micronesia, Federated States of,How it will make us all smarter and better educated,1
positive,Micronesia, Federated States of,How easy it will make life,0
positive,Micronesia, Federated States of,How it will bring the world together,0
positive,Micronesia, Federated States of,Other (please specify),0
positive,Micronesia, Federated States of,None of the above,0
negative,Micronesia, Federated States of,,0
negative,Micronesia, Federated States of,WeÛªll lose touch with one another,0
negative,Micronesia, Federated States of,The loss of privacy,0
negative,Micronesia, Federated States of,I have no fears about a more connected future,0
negative,Micronesia, Federated States of,Other (please specify),0
negative,Micronesia, Federated States of,WeÛªll be less safe,0
positive,South Africa,,12
positive,South Africa,How much fun it will be,45
positive,South Africa,How it will make us all smarter and better educated,127
positive,South Africa,How easy it will make life,112
positive,South Africa,How it will bring the world together,67
positive,South Africa,Other (please specify),36
positive,South Africa,None of the above,69
negative,South Africa,,20
negative,South Africa,WeÛªll lose touch with one another,0
negative,South Africa,The loss of privacy,219
negative,South Africa,I have no fears about a more connected future,45
negative,South Africa,Other (please specify),35
negative,South Africa,WeÛªll be less safe,0
positive,Reunion,,24
positive,Reunion,How much fun it will be,25
positive,Reunion,How it will make us all smarter and better educated,49
positive,Reunion,How easy it will make life,87
positive,Reunion,How it will bring the world together,51
positive,Reunion,Other (please specify),36
positive,Reunion,None of the above,118
negative,Reunion,,20
negative,Reunion,WeÛªll lose touch with one another,0
negative,Reunion,The loss of privacy,197
negative,Reunion,I have no fears about a more connected future,21
negative,Reunion,Other (please specify),21
negative,Reunion,WeÛªll be less safe,0
positive,Somalia,,8
positive,Somalia,How much fun it will be,0
positive,Somalia,How it will make us all smarter and better educated,1
positive,Somalia,How easy it will make life,0
positive,Somalia,How it will bring the world together,1
positive,Somalia,Other (please specify),1
positive,Somalia,None of the above,0
negative,Somalia,,9
negative,Somalia,WeÛªll lose touch with one another,0
negative,Somalia,The loss of privacy,1
negative,Somalia,I have no fears about a more connected future,0
negative,Somalia,Other (please specify),0
negative,Somalia,WeÛªll be less safe,0
positive,Central African Republic,,0
positive,Central African Republic,How much fun it will be,0
positive,Central African Republic,How it will make us all smarter and better educated,0
positive,Central African Republic,How easy it will make life,1
positive,Central African Republic,How it will bring the world together,0
positive,Central African Republic,Other (please specify),0
positive,Central African Republic,None of the above,0
negative,Central African Republic,,0
negative,Central African Republic,WeÛªll lose touch with one another,0
negative,Central African Republic,The loss of privacy,0
negative,Central African Republic,I have no fears about a more connected future,0
negative,Central African Republic,Other (please specify),1
negative,Central African Republic,WeÛªll be less safe,0
positive,Finland,,0
positive,Finland,How much fun it will be,20
positive,Finland,How it will make us all smarter and better educated,39
positive,Finland,How easy it will make life,55
positive,Finland,How it will bring the world together,37
positive,Finland,Other (please specify),21
